"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Migrationshintergrund Kinder","deutsch",2022,"Stadt München",52.8,103574,196072,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"01 Altstadt - Lehel",42.8,905,2115,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"02 Ludwigsvorstadt - Isarvorstadt",39.5,1979,5004,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"03 Maxvorstadt",46.5,2025,4359,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"04 Schwabing - West",44.6,3344,7500,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"05 Au - Haidhausen",44.5,3476,7814,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"06 Sendling",47,2091,4452,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"07 Sendling - Westpark",56.9,4176,7341,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"08 Schwanthalerhöhe",55.1,1853,3366,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"09 Neuhausen - Nymphenburg",50.1,6248,12479,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"10 Moosach",61.9,4166,6727,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"11 Milbertshofen - Am Hart",72.2,6233,8636,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"12 Schwabing - Freimann",51.7,4784,9246,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"13 Bogenhausen",46.7,5744,12293,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"14 Berg am Laim",65.3,3857,5911,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"15 Trudering - Riem",50.3,6298,12517,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"16 Ramersdorf - Perlach",67.5,10475,15526,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"17 Obergiesing - Fasangarten",54.3,3249,5978,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"18 Untergiesing - Harlaching",41.1,2560,6230,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",50.6,6220,12295,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"20 Hadern",55.3,3508,6349,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"21 Pasing - Obermenzing",44.5,5097,11466,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"22 Aubing - Lochhausen - Langwied",55.2,4540,8222,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"23 Allach - Untermenzing",41.8,2302,5510,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"24 Feldmoching - Hasenbergl",59.8,5331,8921,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2022,"25 Laim",53.5,3113,5815,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"Stadt München",53.2,104450,196516,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"01 Altstadt - Lehel",43.5,937,2154,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"02 Ludwigsvorstadt - Isarvorstadt",40.4,2055,5089,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"03 Maxvorstadt",46.8,2043,4369,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"04 Schwabing - West",45.2,3460,7648,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"05 Au - Haidhausen",44.6,3495,7833,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"06 Sendling",47.4,2120,4472,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"07 Sendling - Westpark",57.2,4190,7326,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"08 Schwanthalerhöhe",56.8,1972,3473,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"09 Neuhausen - Nymphenburg",50.4,6301,12492,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"10 Moosach",62.1,4122,6643,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"11 Milbertshofen - Am Hart",73.4,6377,8685,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"12 Schwabing - Freimann",52.3,4923,9416,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
