"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen","bis 2 Jahre",2022,"Stadt München",20.3,17126,84333,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"01 Altstadt - Lehel",24.1,236,980,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"02 Ludwigsvorstadt - Isarvorstadt",26.3,653,2482,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"03 Maxvorstadt",27.3,745,2727,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"04 Schwabing - West",24.1,549,2278,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"05 Au - Haidhausen",17.8,624,3507,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"06 Sendling",20.3,408,2013,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"07 Sendling - Westpark",24.4,865,3541,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"08 Schwanthalerhöhe",21.5,346,1609,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"09 Neuhausen - Nymphenburg",21.8,1061,4856,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"10 Moosach",19.4,607,3131,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"11 Milbertshofen - Am Hart",18.4,703,3813,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"12 Schwabing - Freimann",21.7,1141,5253,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"13 Bogenhausen",22.5,1216,5405,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2022,"14 Berg am Laim",13.5,305,2259,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
