"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"Stadt München",25.5,4375,17126,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"01 Altstadt - Lehel",8.9,21,236,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"02 Ludwigsvorstadt - Isarvorstadt",22.7,148,653,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"03 Maxvorstadt",26.3,196,745,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"04 Schwabing - West",16.6,91,549,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"05 Au - Haidhausen",20.8,130,624,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"06 Sendling",22.3,91,408,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"07 Sendling - Westpark",25.8,223,865,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"08 Schwanthalerhöhe",27.2,94,346,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"09 Neuhausen - Nymphenburg",22.2,236,1061,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"10 Moosach",32.3,196,607,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"11 Milbertshofen - Am Hart",26.3,185,703,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"12 Schwabing - Freimann",21.4,244,1141,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"13 Bogenhausen",22.6,275,1216,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"14 Berg am Laim",36.4,111,305,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"15 Trudering - Riem",29.4,233,792,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"16 Ramersdorf - Perlach",36.2,526,1455,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"17 Obergiesing - Fasangarten",23.5,84,358,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"18 Untergiesing - Harlaching",19.6,117,597,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",23.6,260,1101,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"20 Hadern",30.5,159,521,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"21 Pasing - Obermenzing",23.7,219,925,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"22 Aubing - Lochhausen - Langwied",29.3,163,556,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"23 Allach - Untermenzing",22.8,93,408,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"24 Feldmoching - Hasenbergl",34.9,179,513,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"25 Laim",22.9,101,441,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"Stadt München",24.4,4019,16490,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
